timestamp,distance_cm
2025-05-05T11:43:41.747226,284.1
2025-05-05T11:43:41.924494,284.1
2025-05-05T11:43:42.101994,284.2
2025-05-05T11:43:42.277701,284.1
2025-05-05T11:43:42.454899,284.4
2025-05-05T11:43:42.637659,284.1
2025-05-05T11:43:42.815024,284.1
2025-05-05T11:43:42.991819,284.6
2025-05-05T11:43:43.169259,284.1
2025-05-05T11:43:43.345538,284.1
2025-05-05T11:43:43.529460,284.1
2025-05-05T11:43:43.705780,284.5
2025-05-05T11:43:43.882466,284.1
2025-05-05T11:43:44.059098,284.1
2025-05-05T11:43:44.235594,284.1
2025-05-05T11:43:44.419649,284.5
2025-05-05T11:43:44.596257,284.1
2025-05-05T11:43:44.773326,284.2
2025-05-05T11:43:44.947387,201.0
2025-05-05T11:43:45.123514,284.1
2025-05-05T11:43:45.315231,200.5
2025-05-05T11:43:45.496933,284.6
2025-05-05T11:43:45.677842,285.4
2025-05-05T11:43:45.856806,284.9
2025-05-05T11:43:46.035877,284.1
2025-05-05T11:43:46.223271,284.5
2025-05-05T11:43:46.395615,201.0
2025-05-05T11:43:46.568605,201.8
2025-05-05T11:43:46.752413,284.1
2025-05-05T11:43:46.929090,200.1
2025-05-05T11:43:47.112191,284.1
2025-05-05T11:43:47.272480,17.0
2025-05-05T11:43:47.450139,284.5
2025-05-05T11:43:47.640439,223.1
2025-05-05T11:43:47.816701,284.1
2025-05-05T11:43:47.999320,284.2
2025-05-05T11:43:48.176843,284.1
2025-05-05T11:43:48.349076,200.8
2025-05-05T11:43:48.510245,15.0
2025-05-05T11:43:48.669812,12.4
2025-05-05T11:43:48.830713,13.5
2025-05-05T11:43:48.990328,13.4
2025-05-05T11:43:49.150369,13.6
2025-05-05T11:43:49.310104,12.3
2025-05-05T11:43:49.468950,9.6
2025-05-05T11:43:49.628403,11.1
2025-05-05T11:43:49.789585,13.4
2025-05-05T11:43:49.948250,7.8
2025-05-05T11:43:50.106765,7.2
2025-05-05T11:43:50.267044,7.7
2025-05-05T11:43:50.427127,8.8
2025-05-05T11:43:50.591063,8.5
2025-05-05T11:43:50.750675,6.4
2025-05-05T11:43:50.912906,7.6
2025-05-05T11:43:51.072034,4.3
2025-05-05T11:43:51.230474,4.2
2025-05-05T11:43:51.389885,5.2
2025-05-05T11:43:51.548188,7.1
2025-05-05T11:43:51.706767,5.1
2025-05-05T11:43:51.867192,4.9
2025-05-05T11:43:52.031735,3.5
2025-05-05T11:43:52.190131,2.6
2025-05-05T11:43:52.349027,2.3
2025-05-05T11:43:52.508834,4.9
2025-05-05T11:43:52.670654,3.4
2025-05-05T11:43:52.835651,4.3
2025-05-05T11:43:52.994965,4.6
2025-05-05T11:43:53.153114,4.6
2025-05-05T11:43:53.311664,3.5
2025-05-05T11:43:53.469741,3.1
2025-05-05T11:43:53.627917,2.5
2025-05-05T11:43:53.785975,3.1
2025-05-05T11:43:53.943851,3.0
2025-05-05T11:43:54.103540,2.6
2025-05-05T11:43:54.262025,3.4
2025-05-05T11:43:54.423210,2.1
2025-05-05T11:43:54.581419,2.2
2025-05-05T11:43:54.739826,2.6
2025-05-05T11:43:54.898180,3.5
2025-05-05T11:43:55.056347,2.2
2025-05-05T11:43:55.214747,2.8
2025-05-05T11:43:55.372636,3.3
2025-05-05T11:43:55.530988,2.0
2025-05-05T11:43:55.689316,1.9
2025-05-05T11:43:55.856264,1.8
2025-05-05T11:43:56.014140,1.7
2025-05-05T11:43:56.174126,1.4
2025-05-05T11:43:56.333551,2.2
2025-05-05T11:43:56.492652,2.4
2025-05-05T11:43:56.656498,1.9
2025-05-05T11:43:56.815973,2.3
2025-05-05T11:43:56.974235,2.2
2025-05-05T11:43:57.133129,1.8
2025-05-05T11:43:57.290991,1.5
2025-05-05T11:43:57.448861,1.8
2025-05-05T11:43:57.606988,1.8
2025-05-05T11:43:57.764517,1.7
2025-05-05T11:43:57.922732,2.4
2025-05-05T11:43:58.083397,2.4
2025-05-05T11:43:58.241350,2.4
2025-05-05T11:43:58.399992,2.4
2025-05-05T11:43:58.558729,2.7
2025-05-05T11:43:58.718119,3.6
2025-05-05T11:43:58.876238,2.8
2025-05-05T11:43:59.035392,2.5
2025-05-05T11:43:59.193078,2.1
2025-05-05T11:43:59.351646,2.1
2025-05-05T11:43:59.509877,2.0
2025-05-05T11:43:59.667972,2.1
2025-05-05T11:43:59.826882,2.1
2025-05-05T11:43:59.985130,2.1
2025-05-05T11:44:00.142789,2.1
2025-05-05T11:44:00.301632,2.2
2025-05-05T11:44:00.460533,4.6
2025-05-05T11:44:00.638516,285.2
